batter,batter_name,spearman_rho,p_value,parks
686469,Vinnie Pasquantino,0.6704545454545455,1.9638290073451903e-05,33
628450,Yadiel Hernández,0.6704545454545455,1.9638290073451903e-05,33
666181,Will Benson,0.6704545454545455,1.9638290073451903e-05,33
646240,Rafael Devers,0.6697860962566845,2.0157322727283974e-05,33
595777,Jurickson Profar,0.6697860962566845,2.0157322727283974e-05,33
672275,Patrick Bailey,0.6697860962566845,2.0157322727283974e-05,33
458731,Brett Gardner,0.669451871657754,2.0421460448309096e-05,33
607043,Brandon Nimmo,0.669451871657754,2.0421460448309096e-05,33
666185,Dylan Carlson,0.6677807486631017,2.1789671691568828e-05,33
643217,Andrew Benintendi,0.6674465240641712,2.2073052192634932e-05,33
663656,Kyle Tucker,0.6671122994652406,2.2359758100523648e-05,33
701762,Nick Kurtz,0.6667780748663102,2.2649824025036153e-05,33
666018,Jonathan Aranda,0.6661096256684492,2.324017592202002e-05,33
623993,Anthony Santander,0.6654411764705883,2.3844391030046133e-05,33
702616,Jackson Holliday,0.6654411764705883,2.3844391030046133e-05,33
665120,Jared Walsh,0.6647727272727273,2.4462757588502498e-05,33
641857,Ryan Mcmahon,0.6647727272727273,2.4462757588502498e-05,33
663845,Alfonso Rivas,0.6644385026737968,2.477733914763301e-05,33
519390,Stephen Vogt,0.6641042780748664,2.5095569005293606e-05,33
596129,Dan Vogelbach,0.6641042780748664,2.5095569005293606e-05,33
642165,Josh Vanmeter,0.6634358288770054,2.5743123933273973e-05,33
444482,David Peralta,0.6631016042780749,2.6072524996143215e-05,33
672761,Wenceel Pérez,0.6631016042780749,2.6072524996143215e-05,33
670156,Miles Mastrobuoni,0.6627673796791445,2.640572634752637e-05,33
467793,Carlos Santana,0.6624331550802139,2.6742766828726086e-05,33
647304,Josh Naylor,0.661096256684492,2.8130108915954838e-05,33
682985,Riley Greene,0.6607620320855615,2.848693973902075e-05,33
686527,Dominic Canzone,0.6604278074866311,2.88478500188113e-05,33
663457,Lars Nootbaar,0.6604278074866311,2.88478500188113e-05,33
683002,Gunnar Henderson,0.6604278074866311,2.88478500188113e-05,33
686217,Sal Frelick,0.6600935828877006,2.9212881046538237e-05,33
690993,Colt Keith,0.6597593582887701,2.9582074473573276e-05,33
664059,Sam Haggerty,0.6594251336898396,2.9955472314031436e-05,33
656775,Cedric Mullins,0.6590909090909092,3.033311694736975e-05,33
664023,Ian Happ,0.6587566844919787,3.071505112099965e-05,33
543333,Eric Hosmer,0.6587566844919787,3.071505112099965e-05,33
596847,Ji Man Choi,0.6584224598930482,3.110131795291204e-05,33
669261,Jack Suwinski,0.6580882352941176,3.149196093431706e-05,33
605421,Michael Pérez,0.6577540106951872,3.1887023932298277e-05,33
682177,Daniel Schneemann,0.6570855614973262,3.269058734170994e-05,33
662139,Daulton Varsho,0.6570855614973262,3.269058734170994e-05,33
701538,Jackson Merrill,0.6567513368983958,3.309917739075236e-05,33
683146,Brett Baty,0.6567513368983958,3.309917739075236e-05,33
642086,Dominic Smith,0.6567513368983958,3.309917739075236e-05,33
476704,Jed Lowrie,0.6554144385026738,3.4779990389652525e-05,33
666163,Ben Rortvedt,0.6547459893048129,3.5648919243524624e-05,33
682657,Angel Martínez,0.6547459893048129,3.5648919243524624e-05,33
680776,Jarren Duran,0.6544117647058825,3.609067971448384e-05,33
669364,Xavier Edwards,0.654077540106952,3.653736832060958e-05,33
660821,Jesús Sánchez,0.6537433155080214,3.6989033651583765e-05,33
665155,Nick Maton,0.6537433155080214,3.6989033651583765e-05,33
695734,Daylen Lile,0.6534090909090909,3.7445724708746706e-05,33
682829,Elly De La Cruz,0.6530748663101604,3.790749090795038e-05,33
680700,Richie Palacios,0.6527406417112299,3.8374382082425895e-05,33
670032,Nicky Lopez,0.6527406417112299,3.8374382082425895e-05,33
671221,Drew Waters,0.652072192513369,3.9323740794318415e-05,33
624512,Reese Mcguire,0.652072192513369,3.9323740794318415e-05,33
571788,Brock Holt,0.6510695187165776,4.078748632786734e-05,33
668804,Bryan Reynolds,0.6500668449197861,4.230013060692897e-05,33
672279,Michael Siani,0.6493983957219253,4.3336435017798734e-05,33
573262,Mike Yastrzemski,0.6493983957219253,4.3336435017798734e-05,33
608671,Travis Jankowski,0.6490641711229947,4.3863112198174054e-05,33
596059,Rougned Odor,0.6487299465240642,4.4395545971899876e-05,33
664774,Lamonte Wade,0.6483957219251337,4.493379186574643e-05,33
608369,Corey Seager,0.6477272727272727,4.6027944419306375e-05,33
657077,Alex Verdugo,0.6473930481283422,4.658396444026937e-05,33
671277,Luis García (671277),0.6473930481283422,4.658396444026937e-05,33
488726,Michael Brantley,0.6467245989304814,4.771417888187502e-05,33
677008,Heston Kjerstad,0.6463903743315509,4.828848948348492e-05,33
545121,Ildemaro Vargas,0.6457219251336899,4.945581147973046e-05,33
624415,Cavan Biggio,0.6453877005347594,5.004894193188238e-05,33
650489,Willi Castro,0.6453877005347594,5.004894193188238e-05,33
546318,Odúbel Herrera,0.6450534759358288,5.064846553528546e-05,33
645801,Mike Ford,0.6450534759358288,5.064846553528546e-05,33
608385,Jesse Winker,0.6450534759358288,5.064846553528546e-05,33
571970,Max Muncy (571970),0.6447192513368984,5.125444303885816e-05,33
665839,Enmanuel Valdez,0.6447192513368984,5.125444303885816e-05,33
669242,Tommy Edman,0.6447192513368984,5.125444303885816e-05,33
682998,Corbin Carroll,0.644385026737968,5.186693568540323e-05,33
641584,Jake Fraley,0.6440508021390375,5.2486005214863174e-05,33
672695,Geraldo Perdomo,0.6427139037433155,5.5029304544251706e-05,33
514917,César Hernández,0.6427139037433155,5.5029304544251706e-05,33
663616,Trevor Larnach,0.642379679144385,5.5682202217217485e-05,33
681481,Kerry Carpenter,0.6403743315508021,5.974800947500292e-05,33
671213,Triston Casas,0.6400401069518716,6.045100278661047e-05,33
663993,Nathaniel Lowe,0.6397058823529412,6.116142235002063e-05,33
605170,Víctor Caratini,0.6397058823529412,6.116142235002063e-05,33
663368,Blake Perkins,0.6390374331550803,6.260481698218495e-05,33
605412,Joe Panik,0.6390374331550803,6.260481698218495e-05,33
807799,Masataka Yoshida,0.6387032085561498,6.333793179904571e-05,33
691019,Kyle Teel,0.6387032085561498,6.333793179904571e-05,33
700250,Ben Rice,0.6383689839572193,6.407875237095157e-05,33
670764,Taylor Walls,0.6380347593582888,6.482734996093676e-05,33
606132,Raimel Tapia,0.6377005347593583,6.558379639400887e-05,33
663968,Jake Mangum,0.6373663101604278,6.634816406071988e-05,33
665828,Oswaldo Cabrera,0.636697860962567,6.790095550651345e-05,33
543305,Aaron Hicks,0.636697860962567,6.790095550651345e-05,33
666397,Edouard Julien,0.6363636363636365,6.868952692677015e-05,33
501303,Ehire Adrianza,0.6363636363636365,6.868952692677015e-05,33
605548,Bradley Zimmer,0.636029411764706,6.948631487026466e-05,33
571875,Jake Lamb,0.636029411764706,6.948631487026466e-05,33
453568,Charlie Blackmon,0.6353609625668449,7.110484200377316e-05,33
592696,Eddie Rosario,0.6353609625668449,7.110484200377316e-05,33
664983,Jake Mccarthy,0.6350267379679144,7.192673350411925e-05,33
666158,Gavin Lux,0.634692513368984,7.275714615574664e-05,33
593871,Jorge Polanco,0.6336898395721926,7.530029046996246e-05,33
670770,Tj Friedl,0.6333556149732621,7.616557020397965e-05,33
672284,Jarred Kelenic,0.6330213903743316,7.703976536669994e-05,33
656811,Ryan O'Hearn,0.6326871657754011,7.792295665009499e-05,33
665926,Andrés Giménez,0.6320187165775402,7.971665345572137e-05,33
543257,Robbie Grossman,0.6310160427807487,8.247672278234691e-05,33
669016,Brandon Marsh,0.6310160427807487,8.247672278234691e-05,33
668731,Akil Baddoo,0.6310160427807487,8.247672278234691e-05,33
650331,Lewin Díaz,0.6310160427807487,8.247672278234691e-05,33
669065,Kyle Stowers,0.6303475935828877,8.436409652037087e-05,33
678225,Ji Hwan Bae,0.6303475935828877,8.436409652037087e-05,33
519058,Mike Moustakas,0.6300133689839572,8.532223701033981e-05,33
641432,Willie Calhoun,0.6296791443850268,8.629012825732702e-05,33
641355,Cody Bellinger,0.6286764705882354,8.925318060820875e-05,33
668942,Josh Rojas,0.6273395721925134,9.334578626582764e-05,33
681460,Brooks Baldwin,0.6273395721925134,9.334578626582764e-05,33
624424,Michael Conforto,0.6266711229946524,9.54545208086581e-05,33
621563,Joey Wendle,0.6263368983957219,9.652481905605426e-05,33
650859,Luis Rengifo,0.6263368983957219,9.652481905605426e-05,33
664728,Kyle Isbel,0.6260026737967915,9.760586286630317e-05,33
660644,Vidal Bruján,0.6253342245989305,9.980056611612274e-05,33
572122,Kyle Seager,0.6253342245989305,9.980056611612274e-05,33
458015,Joey Votto,0.6246657754010696,0.00010203939551318271,33
686681,Michael Massey,0.6246657754010696,0.00010203939551318271,33
642133,Rowdy Tellez,0.6239973262032086,0.00010432312742408667,33
600869,Jeimer Candelario,0.6239973262032086,0.00010432312742408667,33
606466,Ketel Marte,0.6223262032085561,0.00011023410516198824,33
543063,Brandon Crawford,0.6216577540106952,0.00011268127768959375,33
542340,Jonathan Villar,0.6203208556149733,0.00011772208738417255,33
683737,Michael Busch,0.6203208556149733,0.00011772208738417255,33
669003,Garrett Mitchell,0.6196524064171124,0.00012031741999839188,33
668472,Nick Pratto,0.6189839572192514,0.00012296385540967137,33
543543,Brad Miller,0.6189839572192514,0.00012296385540967137,33
694384,Nolan Schanuel,0.6189839572192514,0.00012296385540967137,33
691718,Pete Crow-Armstrong,0.61798128342246,0.00012703125238475746,33
686823,Will Brennan,0.6176470588235294,0.00012841356303521363,33
670768,Luis González,0.6169786096256685,0.0001312186314410596,33
641943,Joshua Palacios,0.6156417112299465,0.00013699378540580267,33
605137,Josh Bell,0.6156417112299465,0.00013699378540580267,33
669004,Mj Melendez,0.6156417112299465,0.00013699378540580267,33
518735,Yasmani Grandal,0.6153074866310161,0.0001384726347730762,33
689414,Liam Hicks,0.6153074866310161,0.0001384726347730762,33
598265,Jackie Bradley,0.6149732620320856,0.0001399657457650252,33
681297,Colton Cowser,0.6143048128342247,0.0001429952339301431,33
668751,Cal Mitchell,0.6136363636363636,0.00014608322105815095,33
595909,Jake Cave,0.6133021390374331,0.00014764945898208232,33
645277,Ozzie Albies,0.6119652406417113,0.0001540656197648115,33
678009,Parker Meadows,0.6119652406417113,0.0001540656197648115,33
474832,Brandon Belt,0.6116310160427808,0.00015570809532292325,33
808982,Jung Hoo Lee,0.6116310160427808,0.00015570809532292325,33
621311,David Dahl,0.6109625668449198,0.00015904006765714757,33
668939,Adley Rutschman,0.6099598930481284,0.0001641575389339543,33
621466,Dj Stewart,0.6099598930481284,0.0001641575389339543,33
571466,Tucker Barnhart,0.6082887700534759,0.0001730142361631816,33
642423,Magneuris Sierra,0.6072860962566846,0.00017853079370658845,33
687363,Victor Scott,0.6052807486631016,0.000190037289096079,33
663757,Trent Grisham,0.6016042780748664,0.00021286303528335362,33
656371,Isan Díaz,0.6016042780748664,0.00021286303528335362,33
677595,Ronny Mauricio,0.6012700534759359,0.00021505460878521053,33
